Année,Vainqueur,Nationalité,Club
1992,Abedi Pelé,Ghana,Olympique de Marseille
1993,Rashidi Yekini,Nigeria,Vitória Setúbal
1994,Emmanuel Amunike,Nigeria (2),Sporting
1995,George Weah,Liberia,AC Milan
1996,Nwankwo Kanu,Nigeria (3),Inter Milan
1997,Victor Ikpeba,Nigeria (4),AS Monaco
1998,Mustapha Hadji,Maroc,Deportivo La Corogne
1999,Nwankwo Kanu (2),Nigeria (5),Arsenal
2000,Patrick Mboma,Cameroun,Parme
2001,El-Hadji Diouf,Sénégal,RC Lens
2002,El-Hadji Diouf (2),Sénégal (2),Liverpool
2003,Samuel Eto'o,Cameroun (2),Real Majorque
2004,Samuel Eto'o6 (2),Cameroun (3),FC Barcelone
2005,Samuel Eto'o7 (3),Cameroun (4),FC Barcelone
2006,Didier Drogba 8,Côte d’Ivoire,Chelsea
2007,Frédéric Kanouté 9,Mali,FC Séville
2008,Emmanuel Adebayor 10,Togo,Arsenal
2009,Didier Drogba11 (2),Côte d’Ivoire (2),Chelsea
2010,Samuel Eto'o12 (4),Cameroun (5),Inter Milan
2011,Yaya Touré 13,Côte d’Ivoire (3),Manchester City
2012,Yaya Touré (2)14,Côte d’Ivoire (4),Manchester City
2013,Yaya Touré15 (3),Côte d’Ivoire (5),Manchester City
2014,Yaya Touré16 (4),Côte d’Ivoire (6),Manchester City
2015,Pierre-Emerick Aubameyang17,Gabon,Borussia Dortmund
2016,Riyad Mahrez18,Algérie,Leicester City
2017,Mohamed Salah19,Égypte,Liverpool
2018,Mohamed Salah20 (2),Égypte (2),Liverpool
2019,Sadio Mané21,Sénégal (3),Liverpool
2020,Éditions annulées à cause de la pandémie du Covid-19.
2021
2022,Sadio Mané22 (2),Sénégal (4),Liverpool / Bayern Munich
2023,Victor Osimhen23,Nigeria (6),SSC Napoli