Code,Nom du Joueur,Position,Club
MA,Yassine Bounou,Gardien,Al Hilal
MA,Mounir El Kajoui,Gardien,Al-Wehda
MA,El Mehdi Benabid,Gardien,AS FAR
MA,Achraf Hakimi,Défenseur,PSG
MA,Mohamed Chibi,Défenseur,Pyramids FC
MA,Abdelkabir Abqar,Défenseur,Deportivo Alavés
MA,Ghanem Saiss,Défenseur,Al-Shabab
MA,Nayef Aguerd,Défenseur,West Ham
MA,Yunis Abdelhamid,Défenseur,Stade de Reims
MA,Chadi Riad,Défenseur,Betis Séville
MA,Noussair Mazraoui,Défenseur,Bayern Munich
MA,Yahya Attiat Allah,Défenseur,Wydad Casablanca
MA,Bilal El Khannouss,Milieu,KRC Genk
MA,Azzeddine Ounahi,Milieu,Olympique de Marseille
MA,Oussama El Azzouzi,Milieu,Bologne FC
MA,Sofyan Amrabat,Milieu,Manchester United
MA,Selim Amallah,Milieu,Valence CF
MA,Amir Richardson,Milieu,Stade de Reims
MA,Hakim Ziyech,Milieu,Galatasaray
MA,Amine Harit,Milieu,Olympique de Marseille
MA,Sofiane Boufal,Milieu,Al-Rayyan SC
MA,Ismael Saibari,Attaquant,PSV Eindhoven
MA,Amine Adli,Attaquant,Bayer Leverkusen
MA,Ayoub El Kaabi,Attaquant,Olympiacos
MA,Youssef En-Nesyri,Attaquant,Séville FC
MA,Tarik Tissoudali,Attaquant,La Gantoise
MA,Abdessamad Ezzalzouli,Attaquant,Betis Séville